abnormal, (%-w) ,,,,
Abraham Lincoln, =):-)= ,,,,
alienated, ( <> .. <> ) ,,,,
angel, 0:-) ,,,,
angel, O:-) ,,,,
angel with glasses, O8-) ,,,,
angry, (:-& ,,,,
angry, >:-< ,,,,
angry, :-|| ,,,,
annoyed, >:-( ,,,,
anxious, 8-[ ,,,,
anyway, <--I--> ,,,,
aside comment, :-Y ,,,,
ask dumb question, <:-) ,,,,
asleep, |-| ,,,,
asleep, |I ,,,,
astonished, :C ,,,,
astonished, :-C ,,,,
astonished, 8-O ,,,,
atom bomb, @== ,,,,
baby, ~:o ,,,,
back to back, ][ ,,,,
bad boy, d:- \ ,,,,
bandaid, (::()::) ,,,,
beatup (in a fight), %+{ ,,,,
big grin, =^D ,,,,
big laugh, |-D ,,,,
black eye, ?( ,,,,
black eye, ?-( ,,,,
black eye, (angry) ;-( ,,,,
blowing a kiss, :-{} ,,,,
bored, :| ,,,,
brain-dead, %-6 ,,,,
breasts (boobs), ( o )( o ) ,,,,
cat, =^..^= ,,,,
clown, *<|:-) ,,,,
clowning, :*) ,,,,
cold (flu), :~) ,,,,
cold or flu, :-~| ,,,,
comfort, (::()::) ,,,,
confused, :~/ ,,,,
confused, %-( ,,,,
cow, 3:o ,,,,
cowboy, <):) ,,,,
crying, :.( ,,,,
crying, :\' ,,,,
crying, :\'( ,,,,
crying, :\'-( ,,,,
crying, T_T ,,,,
crying,":,( ",,,,
crying ;( ,,,,,
curly hair, ~:o) ,,,,
death, 8-# ,,,,
deja vu, :-| :-| ,,,,
devil, ]:-> ,,,,
devil - happy, ]:-) ,,,,
devil - happy, >:-) ,,,,
devil wink, >-) ,,,,
devil wink, >-> ,,,,
devilish, <:-> ,,,,
disappointed, :-e ,,,,
disappointed, :e ,,,,
donut, (o) ,,,,
dozen roses, 12x@>--->--- ,,,,
drunk, %*} ,,,,
dull, :| ,,,,
dunce, <:-| ,,,,
dunce, <:-( ,,,,
egghead, (:| ,,,,
Elvis, 5:-) ,,,,
Elvis, ~:-\ ,,,,
Elvis, ~:\ ,,,,
exhausted, :-6 ,,,,
eyes popping out of head, Q_Q,,,,
face to face, }{ ,,,,
fasten your seatbelt, ===[]=== ,,,,
female, O+ ,,,,
female, >- ,,,,
flame (inflammatory message), ~== ,,,,
flame message, ~:-( ,,,,
flame message, ~~:-( ,,,,
Frankenstein, [:-| ,,,,
french kiss, P* ,,,,
french kiss, :Pd: ,,,,
frown, :-( ,,,,
frustrated, }: [ ,,,,
funny, :-D ,,,,
funny not, :/) ,,,,
furious, >>:-<< ,,,,
furious, >-< ,,,,
giggles, ^ ^ ^ ,,,,
glass empty, \_/ ,,,,
glass full, \~/ ,,,,
good grief,! |-{ ,,,,
graduate, Q:-) ,,,,
grumpy, <:-( ,,,,
happy, :^D ,,,,
hats off to you, d :-o ,,,,
having a hard time, :{ ,,,,
hear no evil, :X ,,,,
heavy metal music, \m/ ,,,,
high five, ^5 ,,,,
Homer Simpson, ( 8(|) ,,,,
Homer Simpson, ~(8^(0)  ,,,,
hugs, ((())) ,,,,
hugs and kisses, (( )):** ,,,,
hung over, #-) ,,,,
hung over, %-\ ,,,,
indifferent, :-| ,,,,
infinity, 8 ,,,,
ironic, %-},,,,
just died, X-( ,,,,
Kenny (dead)-southpark, ( ((xx)) ) ,,,,
Kenny-southpark, ( ((oo)) ) ,,,,
kiss, * ,,,,
kiss, :* ,,,,
kiss, :-* ,,,,
