3GPP,KP
3GPP's,KPS
a,A
A,A
AA,A
AAA,A
Aachen,AXN
Aachen's,AXNS
aardvark,ARTF
aardvarks,ARTF
aardvark's,ARTF
Aarhus,ARS
Aarhus's,ARSS
Aaron,ARN
Aaron's,ARNS
Aaronvitch,ARNF
Aaronvitch's,ARNF
Ababa,APP
Ababa's,APPS
aback,APK
abacus,APKS
abacuses,APKS
abacus's,APKS
abaft,APFT
abalone,APLN
abalones,APLN
abalone's,APLN
abandon,APNT
abandoned,APNT
abandoner,APNT
abandoner's,APNT
abandoning,APNT
abandonment,APNT
abandonments,APNT
abandonment's,APNT
abandons,APNT
abase,APS
abased,APST
abasement,APSM
abasements,APSM
abasement's,APSM
abaser,APSR
abaser's,APSR
abases,APSS
abash,APX
abashed,APXT
abashedly,APXT
abashes,APXS
abashing,APXN
abashment,APXM
abashments,APXM
abashment's,APXM
abasing,APSN
abate,APT
abated,APTT
abatement,APTM
abatements,APTM
abatement's,APTM
abater,APTR
abater's,APTR
abates,APTS
abating,APTN
abattoir,APTR
abattoirs,APTR
abattoir's,APTR
Abba,AP
Abba's,APS
abbé,AP
abbés,APS
abbess,APS
abbesses,APSS
abbess's,APSS
abbey,AP
abbeys,APS
abbey's,APS
abbot,APT
abbots,APTS
abbot's,APTS
Abbott,APT
Abbott's,APTS
abbreviate,APRF
abbreviated,APRF
abbreviates,APRF
abbreviating,APRF
abbreviation,APRF
abbreviations,APRF
abbreviation's,APRF
abdicate,APTK
abdicated,APTK
abdicates,APTK
abdicating,APTK
abdication,APTK
abdications,APTK
abdication's,APTK
abdomen,APTM
abdomens,APTM
abdomen's,APTM
abdominal,APTM
abdominally,APTM
abdominals,APTM
abduct,APTK
abducted,APTK
abducting,APTK
abduction,APTK
abductions,APTK
abduction's,APTK
abductor,APTK
abductors,APTK
abductor's,APTK
abducts,APTK
Abdul,APTL
Abdul's,APTL
Abe,AP
abeam,APM
Abel,APL
Abelard,APLR
Abelard's,APLR
Abel's,APLS
Abelson,APLS
Abelson's,APLS
Aberconwy,APRK
Aberconwy's,APRK
Aberdeen,APRT
Aberdeen's,APRT
Aberdeenshire,APRT
Aberdeenshire's,APRT
Abernathy,APRN
Abernathy's,APRN
aberrant,APRN
aberrantly,APRN
aberration,APRX
aberrations,APRX
aberration's,APRX
Aberystwyth,APRS
Aberystwyth's,APRS
Abe's,APS
abet,APT
abets,APTS
abetted,APTT
abetting,APTN
abettor,APTR
